First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
3.222222,3.448276,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,1.0
4.159091,4.236842,3,4.0,1,1,1,2.0,0,6,48.0,10,0.0
0.0,2.8201755787000775,3,4.0,1,1,1,1.0,2,2,32.6760710553814,8,0.0
2.357143,2.970588,1,2.0,1,1,0,1.0,1,3,32.0,9,1.0
4.194444,4.055556,1,2.0,1,1,0,1.0,2,3,32.6760710553814,9,1.0
4.095238,4.222222,1,2.0,1,1,0,1.0,2,3,32.6760710553814,9,1.0
3.729167,3.729167,3,4.0,1,1,1,2.0,1,3,45.0,8,1.0
3.454545,2.8201755787000775,3,2.0,1,1,0,2.0,1,3,23.0,7,0.0
3.08,2.65,3,2.0,1,0,0,1.0,1,1,35.0,7,1.0
3.5,2.846154,3,2.0,1,1,0,1.0,2,6,47.0,4,1.0
3.0,2.8201755787000775,1,2.0,1,0,0,2.0,2,3,26.0,9,0.0
2.447368,2.394737,3,4.0,1,1,1,2.0,1,2,32.6760710553814,7,1.0
0.0,2.8201755787000775,3,2.0,1,1,0,2.0,1,2,12.0,4,0.0
0.0,0.0,1,2.0,1,1,0,2.0,1,1,29.0,7,1.0
2.9,3.0,1,2.0,1,1,0,1.0,2,3,32.6760710553814,9,1.0
2.2,3.125,1,2.0,1,0,0,1.0,2,6,19.0,9,1.0
2.1,0.596154,1,1.0,1,0,0,2.0,1,1,22.0,9,0.0
2.04,1.159091,1,2.0,1,1,0,2.0,2,3,32.0,9,1.0
1.26087,2.8201755787000775,1,2.0,1,0,0,2.0,1,2,21.0,8,0.0
3.02,2.15,1,2.0,1,1,0,2.0,1,3,48.0,9,1.0
3.913043,2.833333,1,2.0,0,1,0,2.0,2,3,32.6760710553814,10,0.0
3.73913,3.809524,3,4.0,1,0,1,2.0,1,2,47.0,8,1.0
4.5,4.333333,1,2.0,1,1,0,2.0,2,3,32.6760710553814,9,1.0
2.472222,2.65625,3,4.0,1,1,1,2.0,1,2,42.0,10,1.0
3.021739,3.833333,4,4.0,1,1,1,2.0,1,1,39.0,9,1.0
3.759259,4.019231,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
4.22,4.136364,1,2.0,1,0,0,1.0,1,1,47.0,9,1.0
0.32,2.8201755787000775,1,2.0,1,1,0,2.0,0,3,15.0,9,0.0
3.73913,3.571429,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
2.15,2.8201755787000775,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,0.0
2.428571,1.0,1,2.0,1,1,0,2.0,1,1,21.0,7,0.0
3.434783,3.428571,3,4.0,1,1,1,1.0,1,2,37.0,4,1.0
1.535714,1.117647,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
0.705882,2.8201755787000775,3,2.0,1,0,0,2.0,2,3,47.0,5,0.0
